street_name,num_of_rooms,size,location,final_price,sold_year,initial_price,floor_num,year_built
Heliosgatan,4.0,108, Hammarby Sjöstad,6495000,2019,6495000,4,2018
Vittangigatan,2.0,41, Vällingby,2075000,2019,1895000,4,1952
Älvsborgsgatan,2.0,43, Södermalm,3550000,2019,3700000,1,1934
Gävlegatan,2.0,65, Vasastan,5350000,2019,5350000,6,2017
Tomtebogatan,3.0,84, Vasastan,8100000,2019,7995000,3,1907
Strålgatan,3.0,84, Essingeöarna,5225000,2019,4995000,2,1939
Valsbergs,3.0,51, Midsommarkransen,3170000,2019,2695000,1,1944
Strahlenbergsgatan,2.0,56, Hammarbyhöjden,3745000,2019,3295000,3,1937
Artemisgatan,1.0,33, Hjorthagen,2825000,2019,2495000,3,1953
Melodislingan,4.0,120, Gärdet,13650000,2019,13950000,5,2015
Skarpnäcks,3.0,77, Skarpnäck,2700000,2019,2290000,1,1984
Skönviksvägen,2.0,54, Stureby,2870000,2019,2495000,2,1952
Bergsrådsvägen,2.0,54, Bagarmossen,2520000,2019,2195000,1,1954
Finn,2.0,47, Hammarbyhöjden,3000000,2019,2495000,2,1943
Sågverksgatan,2.0,54, Stureby,2460000,2019,1895000,2,1945
Sågverksgatan,2.0,53, Stureby,2460000,2019,2295000,1,1945
Sportflygargatan,5.0,105, Skarpnäck,3700000,2019,3295000,2,1984
Dalkärrsleden,5.0,105, Vällingby Nälsta,4800000,2019,4800000,2,1960
Sotingeplan,4.0,103, Tensta,2500000,2019,2400000,3,1969
Sverkersgatan,1.0,29, Aspudden,2300000,2019,1845000,1,1947
Fågelsångsvägen,1.0,35, Gröndal,2560000,2019,2695000,3,2014
Löjtnantsgatan,2.0,69, Gärdet,6300000,2019,6295000,6,2007
Valutavägen,1.0,36, Hägerstensåsen,2330000,2019,1750000,6,2007
Valutavägen,1.0,36, Hägerstensåsen,2330000,2019,1750000,6,2007
Fruängstorget,1.0,45, Hägersten,2200000,2019,2200000,2,1961
Skridskovägen,3.5,85, Hägerstensåsen,3750000,2019,4195000,2,1996
Babordsgatan,1.5,48, Hammarby Sjöstad,3390000,2019,3500000,5,2002
Astrakangatan,1.0,42, Hässelby Gård,1650000,2019,1495000,6,1956
Tidaholmsvägen,3.0,56, Hammarbyhöjden,3125000,2019,3125000,3,1939
Abrahamsbergsvägen,2.0,44, Abrahamsberg,2600000,2019,2195000,1,1942
Fyrvaktarkroken,2.0,53, Blåsut,3400000,2019,3400000,2,2015
Sofielundsvägen,2.0,41, Blåsut,3075000,2019,3075000,5,2019
Eldsbergagränd,2.0,71, Älvsjö,1975000,2019,1995000,1,1969
Fyrvaktarkroken,2.0,41, Blåsut,3000000,2019,2495000,2,2019
Essingetorget,2.0,40, Essingeöarna,2800000,2019,2650000,1,1938
Stagneliusvägen,1.0,22, Fredhäll,2375000,2019,1995000,2,1937
Björketorpsvägen,1.0,28, Norra Ängby,1750000,2019,1595000,3,1967
Ada,2.0,65, Fruängen,3300000,2019,3300000,7,2007
Nina,2.0,48, Hagastaden,4100000,2019,4150000,8,2018
Bondegatan,1.0,36, Katarina,3300000,2019,2895000,2,1932
Tobaksspinnargatan,2.0,37, Högalid,3210000,2019,2750000,2,1932
Friherregatan,101.0,34, Hässelby Södra Villastad,2660000,2019,2795000,2,1960
Starrängsringen,3.0,68, Gärdet,6070000,2019,5495000,1,1991
Thunbergsgatan,2.0,53, Hammarbyhöjden,2600000,2019,2700000,3,1939
Furusundsgatan,2.0,36, Östermalm Gärdet,3650000,2019,2990000,3,1938
Holbergsgatan,3.0,69, Bromma Blackeberg,3520000,2019,2790000,9,2005
Nynäsvägen,1.0,40, Enskede,2800000,2019,2395000,1,1925
Bastuhagsvägen,1.0,29, Enskede,1875000,2019,1795000,1,2014
Oktavgatan,2.0,53, Telefonplan,3675000,2019,2995000,1,2010
Söderberga,2.0,74, Bromma,2000000,2019,1994017,1,2010
Garagevägen,4.0,91, Blåsut,5460000,2019,4995000,6,2019
Sankt,1.0,27, Kungsholmen,2800000,2019,2800000,1,1937
Torsgatan,1.0,45, Vasastan,4325000,2019,3795000,2,1926
Sandhamnsgatan,3.0,65, Gärdet,4430000,2019,4500000,2,1943
Sandhamnsgatan,3.0,65, Gärdet,4430000,2019,4500000,2,1943
Nina,4.0,88, Hagastaden,6795000,2019,6795000,1,2017
Tellusborgsvägen,2.0,43, Midsommarkransen,3200000,2019,3200000,3,2015
Marmorgatan,1.5,40, Södermalm,2500000,2019,2850000,3,1950
