street_name,num_of_rooms,size,location,final_price,sold_year,initial_price,floor_num,year_built
Fredrikshovsgatan,3.0,116, Östermalm,14300000,2019,14750000,3,1895
Grevgatan,4.0,154, Östermalm,19500000,2019,21500000,5,1898
Hägerstens,1.0,31, Axelsberg,2150000,2019,2095000,2,1967
Maria,3.0,93, Södermalm Maria Magdalena,9025000,2019,7950000,3,1905
Boktryckarvägen,4.0,95, Hägerstensåsen,5400000,2019,4995000,3,2004
Ola,1.0,29, Kungsholmen Kristineberg,2710000,2019,2350000,1,1934
Trollesundsvägen,1.0,36, Enskede-Årsta-Vantör,2150000,2018,1975000,3,1955
Stenkvistavägen,2.0,45, Högdalen,2195000,2019,2195000,5,2018
Kallforsvägen,2.0,58, Bandhagen,2550000,2019,2195000,2,1955
Bullerholmsgränd,6.0,126, Skärholmshöjden,3800000,2019,3750000,2,1969
Studentbacken,2.0,45, Gärdet,4250000,2019,4250000,9,2017
Lindhagensterrassen,3.5,116, Kungsholmen,10900000,2019,10900000,15,2009
Torvsätravägen,1.0,40, Sätra,1895000,2019,1895000,2,1961
Skyllbergsgatan,3.0,78, Hagsätra,2520000,2019,2250000,1,2008
Heleneborgsgatan,1.0,34, Södermalm,3420000,2019,2800000,2,1917
Bondegatan,2.0,47, Södermalm,4500000,2019,4500000,1,1885
Kungsholms,1.0,30, Kungsholmen,3000000,2019,3000000,5,1929
Artillerigatan,1.5,45, Östermalm,4600000,2019,4495000,3,1929
Enskedevägen,2.0,50, Svedmyra,3000000,2019,3100000,3,2018
Sandfjärdsgatan,3.0,78, Årsta,2530000,2018,2495000,1,1961
Åmänningevägen,3.0,58, Årsta,2670000,2019,2695000,2,1946
Sparreholmsvägen,5.0,122, Älvsjö,6350000,2019,6500000,2,1983
Bränningevägen,3.0,78, Årsta,4580000,2019,4600000,2,2016
Årstavägen,1.0,25, Årsta,2380000,2019,1995000,4,1945
Sköntorpsvägen,2.0,41, Årsta,2550000,2019,2350000,2,1960
Vittangigatan,3.0,69, Vällingby Centrum,2600000,2019,2475000,3,1953
Drachmannsgatan,1.0,30, Bromma Blackeberg,2030000,2019,1590000,1,1951
Johannelundsvägen,1.0,28, Spånga Sundby,1600000,2019,1595000,3,1948
Johannelundsvägen,1.0,28, Spånga Sundby,1600000,2019,1595000,3,1948
Wallingatan,2.0,41, Norrmalm,4000000,2019,4150000,3,1906
Grevgatan,3.0,98, Östermalm,7600000,2019,7600000,3,1883
Olshammarsgatan,3.0,73, Ormkärr,2050000,2019,1935000,4,1960
Tellusborgsvägen,2.0,40, Hägersten,3000000,2019,3000000,4,2015
Schlytersvägen,4.0,106, Aspudden,6300000,2019,4995000,2,1946
Ripvidegränd,4.0,92, Vällingby Vinsta,4400000,2019,3775000,2,1984
Älvsjö,3.0,66, Älvsjö,3450000,2019,3450000,1,2015
Eriksbergsgatan,9.0,334, Östermalm,51000000,2019,49000000,4,1914
Skanörvägen,2.0,55, Björkhagen,3460000,2019,2950000,3,1949
Snäckvägen,147.0,80, Bromma Äppelviken,17900000,2019,17900000,3,1918
Nämndemansbacken,105.0,13, Enskededalen,6270000,2019,5795000,3,1962
Lerbäcksgränd,3.0,73, Bandhagen,2300000,2019,1995000,3,1959
Hasselquistvägen,2.0,42, Johanneshov,2845000,2019,2350000,3,1959
Styrbjörnsvägen,1.0,41, Aspudden,2460000,2019,1995000,1,1948
Frövigatan,2.0,53, Hagsätra,2260000,2019,1875000,3,1958
Vattenledningsvägen,2.0,43, Midsommarkransen,3100000,2019,2495000,2,1946
Heliosgatan,3.0,78, Hammarby Sjöstad,4800000,2019,4995000,3,2019
Karlbergsvägen,1.0,27, Birkastan,3000000,2019,3000000,3,1931
Nina,3.0,71, Vasastan,6050000,2019,6500000,7,2018
Garagevägen,3.0,77, Enskededalen,4295000,2019,4495000,3,2019
Skebokvarnsvägen,3.0,66, Enskede-Årsta Högdalen,2250000,2019,2250000,12,2008
Fastlagsvägen,4.0,104, Midsommarkransen,5990000,2019,6000000,1,1992
Knypplerskevägen,2.0,42, Bromma,2420000,2019,2500000,1,1942
Dalagatan,5.0,129, Vasastan,13550000,2019,13700000,3,1885
Radiusbacken,2.0,44, Telefonplan,3450000,2016,2744630,3,1885
Tellusborgsvägen,2.0,53, Telefonplan,3535000,2016,2895000,4,2009
Radiusbacken,2.0,55, Telefonplan,3800000,2016,2975000,4,2011
Riksdalervägen,3.0,76, Hägerstensåsen,3830000,2016,3350831,4,2011
Riksdalervägen,3.0,76, Hägerstensåsen,3830000,2016,3350831,4,2011
Tellusborgsvägen,2.0,62, Telefonplan,3700000,2016,3324348,4,2011
Tellusborgsvägen,4.0,115, Telefonplan,6400000,2016,5495000,5,2009
Tellusborgsvägen,2.0,53, Telefonplan,3920000,2016,3175000,9,2010
Tellusborgsvägen,3.0,75, Telefonplan,4560000,2016,3995000,9,1972
Tellusborgsvägen,1.0,37, Telefonplan,2670000,2016,2275000,2,1972
Valsbergs,3.0,74, Midsommarkransen,4525000,2016,3995000,3,1936
Nioörtsvägen,2.0,55, Midsommarkransen,2770000,2016,2294946,3,1936
Tellusborgsvägen,1.5,50, Telefonplan,3310000,2016,2795000,1,1917
Spikvägen,6.0,186, Telefonplan,7640000,2016,6496598,1,1917
Tellusborgsvägen,2.0,45, Telefonplan,2930000,2016,2495000,1,1972
Midsommargränd,2.0,59, Midsommarkransen,3700000,2016,3195164,1,1972
Tellusborgsvägen,2.0,52, Telefonplan,3400000,2016,2875000,1,1917
Tellusborgsvägen,1.0,33, Hägersten,2650000,2016,2295000,4,1972
Responsgatan,2.0,53, Hägersten,3400000,2016,3175000,4,1929
Tellusborgsvägen,3.0,73, Hägersten,4600000,2016,4295051,4,1929
Metronomgatan,4.0,106, Hägersten,6400000,2016,5495000,3,2009
Lustigkullavägen,3.0,72, Hägersten-Liljeholmen,5400000,2016,4495000,3,1913
Nioörtsvägen,2.0,65, Midsommarkransen,2800000,2016,2495543,3,1913
Johannesbergsgatan,1.5,38, Hägersten,2620000,2016,2094324,3,1913
Radiusbacken,2.0,52, Hägersten,3330000,2016,2845000,1,2011
Tellusborgsvägen,2.0,63, Hägersten,3700000,2016,3250000,1,2009
Tellusborgsvägen,2.0,62, Hägersten,3950000,2016,3294412,1,2009
Tellusborgsvägen,1.0,43, Hägersten,3200000,2016,2495000,4,1917
Tellusborgsvägen,2.0,42, Hägersten,3300000,2016,2695000,3,2015
Valborgsmässovägen,2.0,35, Hägersten,2815000,2016,2245000,2,1939
Tellusborgsvägen,1.0,40, Hägersten,2810000,2016,2375000,4,1972
Midsommarvägen,2.0,48, Hägersten,4025000,2016,2844522,4,1972
Tellusborgsvägen,3.5,74, Hägersten,5400000,2016,4248623,4,1972
Valsbergs,1.0,32, Hägersten,2760000,2016,1895000,1,1936
Midsommargränd,2.0,45, Hägersten,3375000,2016,2795000,4,2009
Metronomgatan,2.0,62, Hägersten,3750000,2016,3194207,4,2009
Tellusborgsvägen,3.0,88, Hägersten,6130000,2016,4995000,13,2010
Tellusborgsvägen,2.0,53, Hägersten,3400000,2016,2745000,1,1972
Fastlagsvägen,3.0,73, Hägersten,4825000,2016,4495000,5,1996
Midsommarvägen,2.0,44, Hägersten,2900000,2016,2350081,5,1996
Midsommarvägen,2.0,44, Hägersten,2900000,2016,2350081,5,1996
Tellusborgsvägen,2.0,44, Hägersten,3400000,2016,2675059,5,1996
Tellusborgsvägen,2.0,49, Hägersten,3220000,2016,2695000,4,1972
Midsommarvägen,2.0,44, Hägersten,3340000,2016,2350000,1,1943
Västertorpsvägen,1.5,39, Hägersten,2515000,2016,1850625,1,1943
Valborgsmässovägen,2.0,51, Hägersten,3400000,2016,2695000,3,1939
Responsgatan,2.0,59, Hägersten,5125000,2016,3795000,3,1929
Tellusborgsvägen,2.0,62, Hägersten,4425000,2016,3396009,3,1929
Tellusborgsvägen,1.0,28, Hägersten,2700000,2016,2175000,6,1972
Snickerigatan,5.0,111, Hägersten,6350000,2016,5695067,6,1972
Tellusborgsvägen,2.0,63, Hägersten,4580000,2016,3693548,6,1972
Radiusbacken,3.0,74, Hägersten,4900000,2016,4294478,6,1972
Tegelbruksvägen,4.0,75, Hägersten,4560000,2017,3895000,1,2006
Tellusborgsvägen,1.0,35, Hägersten,2910000,2017,2295000,4,1972
Tellusborgsvägen,1.0,35, Hägersten,3010000,2017,3010000,3,1972
Tellusborgsvägen,1.0,35, Hägersten,2830000,2016,2275000,5,1972
Jakobsdalsvägen,3.0,74, Hägersten,5500000,2017,4493464,5,1972
Tellusborgsvägen,1.0,35, Hägersten,3030000,2017,3010000,1,1972
Tellusborgsvägen,1.0,36, Hägersten,2750000,2016,2295000,3,1972
Lotterivägen,2.0,53, Hägersten,3300000,2017,2595000,2,1947
Radiusbacken,3.0,74, Hägersten,5550000,2017,4394299,2,1947
Svandammsvägen,1.0,33, Hägersten,2870000,2017,2375827,2,1947
Svandammsvägen,1.0,36, Hägersten,2800000,2017,2150537,2,1947
Kyndelsmässogränd,3.0,57, Hägersten,3850000,2017,3150572,2,1947
Mikrofonvägen,2.0,60, Hägersten,4830000,2017,3650000,6,2010
Snickerigatan,4.0,96, Hägersten,5910000,2017,5248667,6,2010
Tellusborgsvägen,1.0,29, Hägersten,2870000,2017,2175000,2,2015
Tellusborgsvägen,1.0,35, Hägersten,2900000,2017,2345000,4,1972
Midsommarvägen,2.0,41, Hägersten,3170000,2017,2450000,1,1944
Midsommarvägen,2.0,53, Hägersten,3450000,2017,2795000,1,1944
Svandammsvägen,2.0,51, Hägersten,3330000,2017,2795000,1,1944
Tellusborgsvägen,1.0,35, Hägersten,2920000,2017,2350000,4,1972
Tellusborgsvägen,1.0,37, Hägersten,2820000,2017,2295000,1,1972
Radiusbacken,2.0,41, Hägersten,3180000,2017,2650000,1,1972
Snickerigatan,2.0,65, Hägersten,3930000,2017,3295000,3,2015
Tellusborgsvägen,2.0,45, Hägersten,3710000,2017,2795779,3,2015
Tellusborgsvägen,2.0,45, Hägersten,3710000,2017,2795779,3,2015
Radiusbacken,2.0,55, Hägersten,3625000,2017,3175000,2,2011
Midsommarvägen,3.0,79, Hägersten,5150000,2017,4648014,2,2011
Valsbergs,2.0,44, Hägersten,3130000,2017,2495000,4,1944
Midsommargränd,2.0,56, Midsommarkransen,4100000,2017,4100000,3,2009
Pingstvägen,2.0,35, Hägersten,2840000,2017,2175000,2,1940
Tellusborgsvägen,3.0,74, Telefonplan,5250000,2017,5250000,2,2011
Tellusborgsvägen,1.0,36, Hägersten,2750000,2017,2295000,1,1972
Oktavgatan,2.0,61, Telefonplan,4100000,2017,3350000,2,2010
Tellusborgsvägen,2.0,62, Telefonplan,4300000,2017,4300000,2,2010
Tellusborgsvägen,3.0,74, Hägersten,5510000,2017,4393939,2,2010
Midsommarvägen,3.0,70, Midsommarkransen,5220000,2017,4395000,4,2009
Flygelgatan,3.0,56, Telefonplan,4050000,2017,3350000,6,2012
Responsgatan,3.0,74, Telefonplan,5300000,2017,4495000,3,1929
Tellusborgsvägen,1.0,40, Telefonplan,3225000,2017,2550000,4,2010
Snickerigatan,2.0,65, Hägersten,3825000,2017,3245000,3,2015
Tellusborgsvägen,2.0,62, Telefonplan,4160000,2017,4160000,2,2011
Tegelbruksvägen,2.0,51, Midsommarkransen,3350000,2017,2695000,1,1938
Svandammsvägen,2.0,60, Midsommarkransen,4275000,2017,4195000,2,2017
Nybodaringen,1.0,27, Liljeholmen,2450000,2017,1745000,1,1936
Tellusborgsvägen,2.0,38, Hägersten,3220000,2017,2650000,5,2015
Midsommarvägen,2.0,53, Hägersten,3430000,2017,2795000,1,1944
Tellusborgsvägen,2.0,53, Telefonplan,3800000,2017,3295000,6,2010
Midsommarvägen,2.0,53, Midsommarkransen,3275000,2017,2795000,2,1944
Lötmogatan,2.0,47, Midsommarkransen,3110000,2017,2395000,1,1940
Oktavgatan,2.0,53, Telefonplan,4300000,2017,3175000,3,2009
Tellusborgsvägen,1.0,36, Telefonplan,2900000,2017,2900000,3,1972
Hägerstensvägen,1.5,32, Aspudden,2915000,2017,2345000,3,1939
Tellusborgsvägen,1.0,33, Telefonplan,3050000,2017,2450000,6,1972
Tellusborgsvägen,2.0,50, Midsommarkransen,3960000,2017,2995000,1,1939
Schlytersvägen,2.0,52, Aspudden,3950000,2017,2995000,3,1947
Tivolivägen,2.0,53, Telefonplan,3200000,2017,2395000,3,1947
Midsommargränd,2.0,61, Midsommarkransen,3700000,2017,3294746,3,1947
Oktavgatan,2.0,53, Telefonplan,3675000,2017,2995110,3,1947
Nioörtsvägen,2.0,62, Midsommarkransen,3300000,2017,2750000,4,1973
Nioörtsvägen,2.0,62, Midsommarkransen,3300000,2017,2750000,4,1973
Midsommarvägen,2.0,44, Midsommarkransen,2970000,2017,1995000,3,1944
Sigfridsvägen,1.0,38, Aspudden,2920000,2017,2295000,3,1949
Tellusborgsvägen,3.5,88, Telefonplan,5800000,2017,4995000,10,2010
Oktavgatan,2.0,61, Telefonplan,4100000,2017,3350000,4,2009
Tellusborgsvägen,2.0,54, Midsommarkransen,3425000,2017,2895181,4,2009
Svandammsvägen,1.0,32, Midsommarkransen,2875000,2017,2195000,3,1938
Tellusborgsvägen,2.0,60, Midsommarkransen,3800000,2017,3250641,3,1938
Oktavgatan,2.0,53, Telefonplan,3900000,2017,3175000,2,2009
Lotterivägen,3.0,67, Hägerstensåsen,3550000,2017,2795000,1,2000
Nybodaringen,3.0,83, Liljeholmen,4970000,2017,4450000,1,1998
Tellusborgsvägen,2.0,53, Telefonplan,3600000,2017,2895000,4,1972
Tellusborgsvägen,1.0,33, Telefonplan,2895000,2017,2350000,5,1972
Midsommarvägen,2.0,42, Midsommarkransen,2775000,2017,2350000,2,1938
Midsommarvägen,2.0,43, Midsommarkransen,3050000,2017,2475000,1,1944
Tellusborgsvägen,2.0,62, Telefonplan,4380000,2017,3450000,3,2011
Tellusborgsvägen,2.0,39, Telefonplan,2875000,2017,2695000,3,2011
Nioörtsvägen,2.0,62, Midsommarkransen,3100000,2017,2795000,2,1973
Tellusborgsvägen,1.5,36, Telefonplan,2880000,2017,2295000,2,1972
Tellusborgsvägen,2.0,45, Midsommarkransen,3165000,2017,2850000,3,1939
Svandammsvägen,3.0,63, Midsommarkransen,4100000,2017,3750000,2,1938
Tellusborgsvägen,2.0,44, Telefonplan,3150000,2017,2795000,3,2011
Nybodaringen,4.0,101, Liljeholmen,6950000,2017,6950000,3,2011
Adventsvägen,2.0,48, Midsommarkransen,3400000,2017,3495000,5,2017
Klaviaturgatan,2.0,65, Telefonplan,4015000,2017,4015000,3,2009
Radiusbacken,2.0,51, Midsommarkransen,3550000,2017,3550000,3,1913
Flygelgatan,2.0,41, Telefonplan,2975000,2017,2975000,3,2012
Tombolavägen,3.0,69, Telefonplan,3000000,2017,3000000,3,2012
Radiusbacken,2.0,39, Telefonplan,3050000,2018,3050000,3,2011
Tellusborgsvägen,2.0,71, Telefonplan,5110000,2018,5110000,4,1917
Tellusborgsvägen,1.5,30, Telefonplan,2730000,2017,2245000,6,1972
Nioörtsvägen,1.5,40, Midsommarkransen,2675000,2018,2675000,6,1972
Midsommarvägen,2.0,55, Midsommarkransen,3350000,2018,2895000,2,1944
Tellusborgsvägen,3.0,63, Midsommarkransen,4000000,2018,3450000,2,1946
Vattenledningsvägen,2.0,60, Midsommarkransen,4500000,2018,3650000,2,1910
Vattenledningsvägen,2.0,60, Midsommarkransen,4500000,2018,3650000,2,1910
Vattenledningsvägen,1.0,35, Midsommarkransen,2410000,2018,1950000,3,1936
Vårgatan,2.0,54, Midsommarkransen,3750000,2018,3750000,2,1910
Tellusborgsvägen,2.0,46, Telefonplan,3270000,2018,3270000,3,1972
Radiusbacken,2.0,44, Telefonplan,3210000,2018,2650000,3,2011
Nyårsvägen,2.0,52, Telefonplan,3150000,2018,3150000,2,1947
Stilgjutarvägen,6.0,152, Hägerstensåsen,9800000,2018,9900000,2,1939
Tellusborgsvägen,1.5,36, Telefonplan,3000000,2018,3000000,5,1972
Snickerigatan,3.5,72, Telefonplan,4620000,2018,3950000,6,2015
Tellusgången,3.0,69, Telefonplan,3900000,2018,3650000,2,2015
Pingstvägen,2.0,45, Telefonplan,2950000,2018,2295000,1,1940
Tellusborgsvägen,3.0,92, Telefonplan,5900000,2018,4875000,4,1917
Radiusbacken,2.0,55, Telefonplan,3720000,2018,3720000,5,2011
Grenljusbacken,3.0,85, Gröndal,4900000,2018,3995000,10,1959
Tellusborgsvägen,2.0,44, Telefonplan,3250000,2018,2495000,4,1972
Tellusborgsvägen,2.0,72, Telefonplan,4425000,2018,3975000,3,1917
Valborgsmässovägen,1.0,35, Telefonplan,2650000,2018,2150000,3,1939
Vapengatan,3.0,73, Aspudden,5200000,2018,3995000,1,1949
Responsgatan,3.0,59, Telefonplan,4650000,2018,3750000,3,1929
Tegelbruksvägen,3.0,69, Midsommarkransen,4500000,2018,3650000,2,1936
Svandammsvägen,1.0,36, Midsommarkransen,2550000,2018,1995000,2,1939
Midsommarvägen,2.0,53, Midsommarkransen,3330000,2018,2495000,4,1944
Tellusborgsvägen,1.5,40, Telefonplan,3000000,2018,2350000,4,1972
Vårgatan,3.0,87, Midsommarkransen,6380000,2018,5375000,1,1910
Styrbjörnsvägen,3.0,63, Aspudden,4100000,2018,3495000,2,1948
Scheelegatan,1.5,36, Kungsholmen,3600000,2019,2995000,3,1927
Mosstenabacken,2.0,50, Bandhagen,2470000,2019,1990000,2,1953
Spjutgränd,8.0,165, Spånga Flysta,8475000,2019,8475000,2,1935
Kalmgatan,3.0,86, Hammarbyhöjden,5200000,2019,4800000,2,1992
Lidköpingsvägen,2.0,52, Hammarbyhöjden,3450000,2019,2950000,2,1945
Hagtornsvägen,6.0,114, Enskededalen,9300000,2019,8950000,2,1925
Multrågatan,3.0,73, Vällingby Parkstad,2350000,2019,1995000,4,1958
Vibyholmsvägen,3.0,74, Älvsjö,2620000,2019,2495000,2,1949
Torbjörn,2.5,62, Vasastan,4500000,2019,4350000,1,1923
Wollmar,2.0,47, Södermalm,4700000,2019,4150000,1,1929
Inteckningsvägen,2.0,55, Hägerstensåsen,2680000,2019,2150000,2,1945
Inteckningsvägen,2.0,55, Hägerstensåsen,2680000,2019,2150000,2,1945
Ulricehamnsvägen,1.0,28, Hammarbyhöjden,2050000,2019,1750000,2,1946
Valutavägen,3.0,74, Hägerstensåsen,4200000,2019,4400000,2,1947
Harplingegränd,3.0,83, Östberga,2610000,2019,2190000,2,1968
Voxnegränd,2.0,54, Bagarmossen,2440000,2019,2095000,1,1954
Tideliusgatan,3.0,66, Södermalm,4900000,2019,4950000,3,1967
Vikingagatan,1.0,30, Vasastan,3200000,2019,3200000,3,1905
Skulptörvägen,4.0,84, Gullmarsplan,4800000,2019,4495000,3,1997
Sjöviksvägen,3.0,79, Liljeholmskajen,4700000,2019,5100000,10,2017
Tenngjutargränd,2.0,37, Mälarhöjden,2825000,2019,2800000,10,1954
Lundagatan,2.0,41, Södermalm,3830000,2019,3550000,2,1930
Essingeringen,1.0,23, Stora Essingen,2210000,2019,1850000,1,1930
Långhalsvägen,3.0,55, Årsta,2500000,2014,2150000,3,1945
Ymsenvägen,1.0,22, Årsta,1550000,2014,1550000,3,1948
Hjälmarsvägen,4.0,83, Årsta,3250000,2014,3250000,2,1955
Rämensvägen,2.0,45, Årsta,2200000,2014,1995000,3,1945
Harpsundsvägen,3.0,69, Älvsjö/Farsta/Vantör,2225000,2014,1795000,3,1954
Åmänningevägen,2.0,57, Årsta,1960000,2014,2100000,3,1948
Siljansvägen,2.0,45, Årsta,2000000,2014,1974333,3,1948
Olshammarsgatan,3.0,73, Älvsjö/Farsta/Vantör,1955000,2014,1695576,3,1948
Sköntorpsvägen,1.5,31, Årsta,2075000,2014,1695000,3,1960
Skedviksvägen,2.0,56, Årsta,2585000,2014,2195000,3,1946
Spannarpsgränd,2.0,57, Östberga,1700000,2014,1450000,3,1968
Kyndelsmässogränd,3.0,55, Midsommarkransen,2480000,2014,2395000,2,1943
Skälderviksplan,1.0,20, Årsta,1460000,2014,1369606,2,1943
Stamgatan,3.0,78, Östberga,2325000,2014,1695000,2,1960
Hjälmarsvägen,3.0,54, Årsta,2485000,2015,2294552,2,1960
Östrandsvägen,3.0,62, Enskede,2530000,2015,2194275,2,1960
Skönviksvägen,1.5,30, Enskede,1950000,2015,1695652,2,1960
Borensvägen,2.0,58, Årsta,2775000,2014,2295000,3,1944
Siljansvägen,2.0,50, Årsta,2450000,2015,2450000,2,1945
Stamgatan,3.0,78, Östberga,2680000,2015,2149157,2,1945
Stamgatan,4.0,86, Östberga,2200000,2015,1694915,2,1945
Sandfjärdsgatan,1.5,44, Årsta,2120000,2015,1895000,2,1960
Stamgatan,3.0,78, Östberga,1965000,2015,1850000,2,1960
Stamgatan,3.0,78, Östberga,1965000,2015,1850000,2,1960
Skattungsvägen,2.0,56, Årsta,2575000,2015,2295008,2,1960
Skönviksvägen,1.5,43, Enskede-Årsta-Vantör,2450000,2015,1995000,3,1951
Dellensvägen,2.0,62, Årsta,2740000,2015,2395000,1,1946
Stamgatan,3.0,70, Enskede-Årsta-Vantör,2175000,2015,2175000,1,1959
Storsjövägen,2.0,69, Enskede-Årsta-Vantör,2550000,2015,2495000,5,1992
Sandfjärdsgatan,1.0,27, Årsta,1900000,2016,1900000,5,1992
Borensvägen,2.0,40, Årsta,2275000,2018,2275000,5,1992
Gullmarsvägen,3.0,70, Årsta,3720000,2018,3720000,3,1948
Storsjövägen,2.0,52, Årsta,2605000,2018,2473884,3,1948
Sköntorpsvägen,1.0,26, Årsta,2150000,2018,1975000,1,1944
Sandfjärdsgatan,4.0,88, Årsta,4000000,2018,3775000,4,1961
Sköntorpsvägen,2.0,59, Årsta,2675000,2018,2675000,3,1961
Bolmensvägen,2.0,34, Årsta,2425000,2018,2175000,2,1939
Kolsnarsvägen,2.0,43, Årsta,2730000,2018,2375000,3,1944
Hasselquistvägen,2.0,48, Hammarbyhöjden,2840000,2019,2595000,1,1938
Per,2.0,49, Hammarbyhöjden,3350000,2019,2795000,2,1939
Fatbursgatan,3.0,43, Södermalm,3350000,2019,3350000,2,1901
Fyrverkarbacken,3.0,66, Kungsholmen,5050000,2019,4795000,8,1962
Vulcanusgatan,3.0,87, Vasastan,7900000,2019,7250000,1,1928
Åsögatan,2.0,50, Södermalm,4350000,2019,3950000,3,1930
Bondegatan,1.0,27, Södermalm,2750000,2019,2495000,4,1929
Polhemsgatan,3.0,76, Kungsholmen,7900000,2019,7300000,4,1931
Bygärdesvägen,1.0,22, Spånga Bromsten,1295000,2019,1295000,1,1964
Tellusborgsvägen,1.0,36, Telefonplan,2650000,2019,2695000,5,2012
Vanadisvägen,1.0,28, Vasastan,2700000,2019,2595000,1,1929
Hallandsgatan,2.0,63, Södermalm,5650000,2019,4800000,3,1929
Stävholmsgränd,113.0,20, Skärholmen,4600000,2019,4750000,3,1969
Thespisvägen,169.0,77, Bromma,13600000,2019,12775000,3,1927
Kärrgränd,116.0,54, Kälvesta,4210000,2019,3850000,3,1969
Strömkarlsvägen,156.0,70, Bromma,10675000,2019,9975000,3,1964
Rödkindavägen,150.0,74, Farsta,5900000,2019,5900000,3,1979
Knäckepilsgränd,120.0,20, Norra Villastad,4500000,2019,4195000,3,1973
